,receivedPhoneTimestamp,respeckTimestamp,packetSeqNum,sampleSeqNum,accelX,accelY,accelZ
0,1760094944041,1190415533,15153,9,-0.9189453125,-0.01080322265625,-0.55474853515625
1,1760094944041,1190415533,15153,10,-0.89404296875,-0.01470947265625,-0.54132080078125
2,1760094944041,1190415533,15153,11,-0.8955078125,-0.01812744140625,-0.50421142578125
3,1760094944041,1190415533,15153,12,-0.91796875,-0.01641845703125,-0.52130126953125
4,1760094944041,1190415533,15153,13,-0.92626953125,0.00042724609375,-0.57574462890625
5,1760094944041,1190415533,15153,14,-0.933837890625,-0.00738525390625,-0.41046142578125
6,1760094944041,1190415533,15153,15,-0.95068359375,-0.05255126953125,-0.33843994140625
7,1760094944041,1190415533,15153,16,-0.955078125,-0.04644775390625,-0.37310791015625
8,1760094944041,1190415533,15153,17,-0.9375,-0.02471923828125,-0.46661376953125
9,1760094944041,1190415533,15153,18,-0.9326171875,-0.01080322265625,-0.51568603515625
10,1760094944041,1190415533,15153,19,-0.906494140625,-0.00274658203125,-0.52545166015625
11,1760094944041,1190415533,15153,20,-0.920654296875,-0.01104736328125,-0.49517822265625
12,1760094944041,1190415533,15153,21,-0.9248046875,-0.01641845703125,-0.48663330078125
13,1760094944041,1190415533,15153,22,-0.923583984375,-0.00787353515625,-0.48907470703125
14,1760094944041,1190415533,15153,23,-0.922607421875,0.00262451171875,-0.50079345703125
15,1760094944041,1190415533,15153,24,-0.9140625,0.00433349609375,-0.50714111328125
16,1760094944041,1190415533,15153,25,-0.910888671875,0.01531982421875,-0.57501220703125
17,1760094944041,1190415533,15153,26,-0.982421875,-0.05718994140625,-0.28887939453125
18,1760094944041,1190415533,15153,27,-0.954833984375,-0.04351806640625,-0.34161376953125
19,1760094944041,1190415533,15153,28,-0.9267578125,-0.02398681640625,-0.41143798828125
20,1760094944041,1190415533,15153,29,-0.946533203125,-0.00714111328125,-0.49371337890625
21,1760094944041,1190415533,15153,30,-0.9345703125,-0.00665283203125,-0.53594970703125
22,1760094944041,1190415533,15153,31,-0.9033203125,-0.01544189453125,-0.51226806640625
23,1760094946644,1190418124,15154,0,-0.8974609375,-0.01617431640625,-0.49981689453125
24,1760094946644,1190418124,15154,1,-0.909423828125,-0.01177978515625,-0.52496337890625
25,1760094946644,1190418124,15154,2,-0.91455078125,0.00115966796875,-0.58795166015625
26,1760094946644,1190418124,15154,3,-0.953369140625,0.00823974609375,-0.44342041015625
27,1760094946644,1190418124,15154,4,-0.943115234375,-0.07135009765625,-0.30841064453125
28,1760094946644,1190418124,15154,5,-0.949951171875,-0.03912353515625,-0.35015869140625
29,1760094946644,1190418124,15154,6,-0.933837890625,-6.103515625e-05,-0.49176025390625
30,1760094946644,1190418124,15154,7,-0.946533203125,-0.00982666015625,-0.48199462890625
31,1760094946644,1190418124,15154,8,-0.93115234375,-0.01055908203125,-0.49957275390625
32,1760094946644,1190418124,15154,9,-0.915283203125,-0.01422119140625,-0.49493408203125
33,1760094946644,1190418124,15154,10,-0.918212890625,-0.01885986328125,-0.47637939453125
34,1760094946644,1190418124,15154,11,-0.926513671875,-0.00958251953125,-0.49566650390625
35,1760094946644,1190418124,15154,12,-0.917236328125,-0.00518798828125,-0.51763916015625
36,1760094946644,1190418124,15154,13,-0.9111328125,-0.00128173828125,-0.53521728515625
37,1760094946644,1190418124,15154,14,-0.934814453125,-0.01275634765625,-0.43634033203125
38,1760094946644,1190418124,15154,15,-0.95166015625,-0.04034423828125,-0.40191650390625
