,receivedPhoneTimestamp,respeckTimestamp,packetSeqNum,sampleSeqNum,accelX,accelY,accelZ
18,1760096840652,1192311911,15875,27,-0.982421875,-0.09356689453125,-0.32232666015625
19,1760096840652,1192311911,15875,28,-0.994873046875,-0.09356689453125,-0.31744384765625
20,1760096840652,1192311911,15875,29,-0.984375,-0.09332275390625,-0.33062744140625
21,1760096840652,1192311911,15875,30,-0.982421875,-0.08795166015625,-0.32818603515625
22,1760096840652,1192311911,15875,31,-0.978271484375,-0.08868408203125,-0.34454345703125
23,1760096843253,1192314502,15876,0,-0.9658203125,-0.08966064453125,-0.38043212890625
24,1760096843253,1192314502,15876,1,-0.959716796875,-0.09210205078125,-0.40948486328125
25,1760096843253,1192314502,15876,2,-0.95703125,-0.09649658203125,-0.43365478515625
26,1760096843253,1192314502,15876,3,-0.944580078125,-0.09454345703125,-0.44586181640625
27,1760096843253,1192314502,15876,4,-0.942626953125,-0.09014892578125,-0.46954345703125
28,1760096843253,1192314502,15876,5,-0.92626953125,-0.08111572265625,-0.45709228515625
29,1760096843253,1192314502,15876,6,-0.985595703125,-0.08697509765625,-0.30914306640625
30,1760096843253,1192314502,15876,7,-0.98876953125,-0.09234619140625,-0.31671142578125
31,1760096843253,1192314502,15876,8,-0.986328125,-0.09014892578125,-0.31207275390625
32,1760096843253,1192314502,15876,9,-0.998779296875,-0.08892822265625,-0.31427001953125
33,1760096843253,1192314502,15876,10,-0.98828125,-0.08917236328125,-0.31329345703125
34,1760096843253,1192314502,15876,11,-0.991455078125,-0.09185791015625,-0.30743408203125
35,1760096843253,1192314502,15876,12,-0.99169921875,-0.07867431640625,-0.31890869140625
36,1760096843253,1192314502,15876,13,-0.9814453125,-0.07745361328125,-0.34503173828125
37,1760096843253,1192314502,15876,14,-0.96435546875,-0.07623291015625,-0.36724853515625
38,1760096843253,1192314502,15876,15,-0.958251953125,-0.08453369140625,-0.39093017578125
39,1760096843253,1192314502,15876,16,-0.959716796875,-0.09698486328125,-0.41534423828125
