timestamp,accelX,accelY,accelZ
974526343,-0.736572265625,-0.18731689453125,-0.72637939453125
974526343,-0.738525390625,-0.18023681640625,-0.73931884765625
974526343,-0.734130859375,-0.18414306640625,-0.73565673828125
974526343,-0.729736328125,-0.18682861328125,-0.73565673828125
974526343,-0.72607421875,-0.18121337890625,-0.73321533203125
974526343,-0.735595703125,-0.18243408203125,-0.73858642578125
974526343,-0.73779296875,-0.18487548828125,-0.73516845703125
974526343,-0.732177734375,-0.18560791015625,-0.73272705078125
974526343,-0.73583984375,-0.18682861328125,-0.73541259765625
974526343,-0.72802734375,-0.18609619140625,-0.73712158203125
974526343,-0.7265625,-0.18389892578125,-0.73687744140625
974528916,-0.734619140625,-0.18170166015625,-0.73663330078125
974528916,-0.7333984375,-0.18194580078125,-0.73443603515625
974528916,-0.730224609375,-0.18194580078125,-0.73590087890625
974528916,-0.734619140625,-0.18194580078125,-0.73492431640625
974528916,-0.732177734375,-0.18658447265625,-0.73468017578125
974528916,-0.73046875,-0.18267822265625,-0.73809814453125
974528916,-0.729248046875,-0.18585205078125,-0.74005126953125
974528916,-0.735595703125,-0.18194580078125,-0.73443603515625
974528916,-0.73486328125,-0.18536376953125,-0.73272705078125
974528916,-0.736328125,-0.18243408203125,-0.74029541015625
974528916,-0.733154296875,-0.18316650390625,-0.73834228515625
974528916,-0.73095703125,-0.18487548828125,-0.74053955078125
974528916,-0.73046875,-0.18267822265625,-0.73419189453125
974528916,-0.73291015625,-0.18511962890625,-0.73614501953125
974528916,-0.734619140625,-0.18707275390625,-0.72662353515625
974528916,-0.740234375,-0.18121337890625,-0.74005126953125
974528916,-0.735107421875,-0.18267822265625,-0.73492431640625
974528916,-0.732177734375,-0.18927001953125,-0.73687744140625
974528916,-0.734619140625,-0.18389892578125,-0.72930908203125
974528916,-0.733154296875,-0.18048095703125,-0.72930908203125
974528916,-0.739501953125,-0.18316650390625,-0.73028564453125
974528916,-0.74072265625,-0.18634033203125,-0.73638916015625
974528916,-0.737548828125,-0.18243408203125,-0.73297119140625
974528916,-0.732666015625,-0.18780517578125,-0.73834228515625
974528916,-0.73193359375,-0.18341064453125,-0.73004150390625
974528916,-0.7353515625,-0.18218994140625,-0.73150634765625
